08,075,,1,1,100,258,258,100
28,049,0103.01,1,1,100,71,71,100
40,003,,1,1,100,215,215,100
39,113,0603.00,3,3,100,206,206,100
12,105,0124.04,2,2,100,303,303,100
12,086,9808.00,1,1,100,188,188,100
39,035,1202.00,1,1,100,19,19,100
12,103,0207.00,2,2,100,100,100,100
36,119,0030.00,1,1,100,354,354,100
39,153,,1,1,100,213,213,100
48,113,0087.04,1,1,100,64,64,100
12,086,0018.01,1,1,100,45,45,100
13,121,0064.00,1,1,100,61,61,100
12,081,0007.03,2,2,100,241,241,100
48,061,0138.02,1,1,100,66,66,100
17,031,2522.01,2,2,100,202,202,100
34,031,,1,1,100,164,164,100
24,033,8056.02,2,2,100,315,315,100
39,035,1015.01,2,2,100,145,145,100
72,083,9597.00,1,1,100,85,85,100
13,121,0081.01,1,1,100,68,68,100
34,013,0113.00,2,2,100,310,310,100
34,031,1813.00,7,7,100,1357,1357,100
22,051,0276.02,2,2,100,158,158,100
39,035,1526.03,2,2,100,92,92,100
39,153,5054.00,5,5,100,252,252,100
04,027,0003.01,2,2,100,156,156,100
13,063,0405.25,1,1,100,41,41,100
47,157,0081.10,1,1,100,40,40,100
17,031,4305.00,2,2,100,291,291,100
12,099,0040.10,9,9,100,934,934,100
48,141,0104.04,2,2,100,182,182,100
48,201,3205.00,5,5,100,386,386,100
26,163,5772.00,3,3,100,133,133,100
42,101,0201.02,1,1,100,88,88,100
36,047,0892.00,2,2,100,1029,1029,100
22,051,0278.11,10,10,100,1009,1009,100
18,035,0017.00,2,2,100,155,155,100
04,019,0043.20,2,2,100,180,180,100
26,049,0113.02,5,5,100,172,172,100
26,075,0013.00,3,3,100,89,89,100
48,141,0041.03,6,6,100,630,630,100
17,031,3807.00,1,1,100,236,236,100
36,047,1006.00,6,6,100,2649,2649,100
12,073,0019.01,1,1,100,58,58,100
36,005,0065.00,1,1,100,416,416,100
34,017,0167.00,1,1,100,351,351,100
36,005,0194.00,3,3,100,1088,1088,100
24,510,1507.02,2,2,100,186,186,100
